OBJECTID,REPORT_TAKEN_DATE,YEAR,BLOCK_ADDRESS,DISTRICT,PSA,FIELD_CONTACT_TYPE,REASON_FOR_STOP,DATA_TYPE,RACE,ETHNICITY,SEX,AGE
2837,1/29/2014 22:57,2014,2200 BLOCK OF SAVANNAH ST SE,7D,704,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,24
2838,1/29/2014 22:57,2014,2200 BLOCK OF SAVANNAH ST SE,7D,704,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,23
2839,1/29/2014 22:57,2014,2200 BLOCK OF SAVANNAH ST SE,7D,704,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,23
2840,2/26/2014 0:08,2014,Multiple/Unknown Address,,,Vehicle Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Female,36
2841,2/26/2014 15:48,2014,3100 BLOCK OF MARTIN LUTHER KING JR AVE SE,7D,707,Vehicle Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,23
2842,2/26/2014 15:52,2014,Multiple/Unknown Address,,,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,29
2843,2/26/2014 19:33,2014,1100 BLOCK OF 18TH ST NW,2D,207,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,25
2844,2/26/2014 19:41,2014,2100 BLOCK OF N ST NW,2D,208,Pedestrian Stop,Suspicious Persons,Person,Black,Unknown,Female,Juvenile
2845,2/26/2014 19:44,2014,2100 BLOCK OF N ST NW,2D,208,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Female,18
2846,2/26/2014 19:45,2014,2100 BLOCK OF N ST NW,2D,208,Pedestrian Stop,Suspicious Persons,Person,Black,Unknown,Female,Juvenile
2847,2/26/2014 19:48,2014,2100 BLOCK OF N ST NW,2D,208,Pedestrian Stop,Suspicious Persons,Person,Black,Unknown,Male,18
2848,2/26/2014 22:26,2014,500 BLOCK OF PARKLAND PL SE,7D,707,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,59
2849,2/26/2014 23:55,2014,Multiple/Unknown Address,,,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,19
2850,2/27/2014 1:32,2014,2200 BLOCK OF P ST NW,4D,407,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,27
2851,2/27/2014 14:52,2014,3000 BLOCK OF MARTIN LUTHER KING JR AVE SE,7D,707,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,19
2852,2/27/2014 21:45,2014,4000 BLOCK OF MINNESOTA AVE NE,6D,602,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,51
2853,2/28/2014 13:46,2014,500 BLK 12TH ST SE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,56
2854,2/28/2014 13:51,2014,1100 BLOCK OF K ST SE,1D,106,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,24
2855,2/28/2014 13:59,2014,UNIT BLOCK OF & KENTUCKY AVE SE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,54
2856,2/28/2014 18:09,2014,3500 BLOCK OF 18TH ST SE,7D,707,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,57
2857,2/28/2014 20:33,2014,1500 BLOCK OF GALES ST NE,5D,507,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,51
2858,2/28/2014 21:58,2014,8TH ST NE,1D,104,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,20
2859,3/1/2014 1:22,2014,3000 BLOCK OF 30TH ST SE,7D,702,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,38
2860,3/1/2014 3:26,2014,500 BLOCK OF ALLISON ST NW,4D,407,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,22
2861,3/1/2014 3:27,2014,500 BLOCK OF ALLISON ST NW,4D,407,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,28
2862,3/1/2014 16:30,2014,10TH ST NE,1D,104,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,51
2863,3/1/2014 17:53,2014,NEW JERSEY AVE NW / RHODE ISLAND AVE NW,3D,306,Vehicle Stop,Pre-existing Knowledge,Person,Unknown,Not Hispanic Or Latino,Male,
2864,3/2/2014 0:44,2014,1100 BLOCK OF 21ST ST NW,2D,207,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,32
