OBJECTID,REPORT_TAKEN_DATE,YEAR,BLOCK_ADDRESS,DISTRICT,PSA,FIELD_CONTACT_TYPE,REASON_FOR_STOP,DATA_TYPE,RACE,ETHNICITY,SEX,AGE
1,6/11/2012 4:22,2012,1900 BLOCK OF MONTANA AVE NE,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
2,6/11/2012 5:17,2012,1100 BLK BLADENSBURG,,,Pedestrian Stop,Suspicious Persons,Person,Black,Unknown,Male,32
3,6/11/2012 5:22,2012,1100 BLK BLANDESBURG RD NE,,,Pedestrian Stop,Suspicious Persons,Person,Black,Unknown,Male,33
4,6/11/2012 20:51,2012,4100 BLOCK OF HUNT PL NE,6D,602,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,28
5,6/12/2012 0:31,2012,600 BLOCK OF 19TH ST NE,5D,507,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
6,6/13/2012 1:48,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
7,6/13/2012 1:48,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
8,6/13/2012 1:48,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
9,6/13/2012 1:48,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
10,6/13/2012 2:17,2012,49TH ST NE / JAY ST NE,6D,608,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,19
11,6/13/2012 2:32,2012,4300 BLOCK OF HUNT PL NE,6D,602,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,19
12,6/13/2012 20:54,2012,100 BLOCK OF 16TH ST SE,1D,108,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,30
13,6/14/2012 1:14,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
14,6/15/2012 1:48,2012,900 BLOCK OF H ST NE,1D,104,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
15,6/15/2012 1:57,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
16,6/15/2012 1:57,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
17,6/16/2012 3:34,2012,2300 BLOCK OF 4TH ST NE,5D,502,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
18,6/16/2012 3:34,2012,2300 BLOCK OF 4TH ST NE,5D,502,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
19,6/17/2012 2:45,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
20,6/17/2012 2:45,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
21,6/17/2012 3:10,2012,600 BLOCK OF IRVING ST NW,3D,302,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,18
22,6/18/2012 1:58,2012,1800 BLOCK OF CENTRAL PL NE,5D,506,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
23,6/18/2012 5:15,2012,1600 BLOCK OF BENNING RD NE,5D,507,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
24,6/18/2012 5:27,2012,UNIT BLOCK OF Q ST NW,1D,102,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,33
25,6/20/2012 3:10,2012,800 BLOCK OF V ST NW,3D,305,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,30
26,6/20/2012 12:57,2012,Multiple/Unknown Address,,,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,39
27,6/20/2012 12:57,2012,Multiple/Unknown Address,,,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,59
28,6/20/2012 12:57,2012,Multiple/Unknown Address,,,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,37
29,6/20/2012 19:35,2012,Multiple/Unknown Address,,,Pedestrian Stop,Pre-existing Knowledge,Person,Black,Not Hispanic Or Latino,Male,20
30,6/21/2012 4:36,2012,1000 BLOCK OF VERMONT AVE NW,2D,208,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Male,26
31,6/21/2012 7:44,2012,1200 BLK 12TH ST,,,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,19
32,6/21/2012 7:56,2012,1200 BLK 11TH ST,,,Pedestrian Stop,Call For Service,Person,Black,Unknown,Female,30
33,6/22/2012 4:26,2012,1300 BLOCK OF WISCONSIN AVE NW,2D,206,Pedestrian Stop,Suspicious Activity,Person,White,Not Hispanic Or Latino,Male,25
34,6/22/2012 15:35,2012,,,,Vehicle Stop,Suspicious Activity,Person,Black,Unknown,Male,45
35,6/23/2012 19:11,2012,Multiple/Unknown Address,,,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,22
36,6/23/2012 20:50,2012,1500 BLOCK OF HARVARD ST NW,3D,302,Vehicle Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Female,37
37,6/24/2012 4:55,2012,6600 BLOCK OF 32ND PL NW,2D,201,Pedestrian Stop,Suspicious Activity,Person,Unknown,Not Hispanic Or Latino,Female,Juvenile
38,6/24/2012 4:55,2012,6600 BLOCK OF 32ND PL NW,2D,201,Pedestrian Stop,Suspicious Activity,Person,Unknown,Not Hispanic Or Latino,Female,Juvenile
39,6/24/2012 4:55,2012,6600 BLOCK OF 32ND PL NW,2D,201,Pedestrian Stop,Suspicious Activity,Person,Unknown,Not Hispanic Or Latino,Female,47
40,6/24/2012 4:55,2012,6600 BLOCK OF 32ND PL NW,2D,201,Pedestrian Stop,Suspicious Activity,Person,White,Not Hispanic Or Latino,Female,Juvenile
41,6/24/2012 4:55,2012,6600 BLOCK OF 32ND PL NW,2D,201,Pedestrian Stop,Suspicious Activity,Person,White,Not Hispanic Or Latino,Female,27
42,6/24/2012 4:55,2012,6600 BLOCK OF 32ND PL NW,2D,201,Pedestrian Stop,Suspicious Activity,Person,Unknown,Not Hispanic Or Latino,Male,19
43,6/24/2012 4:55,2012,6600 BLOCK OF 32ND PL NW,2D,201,Pedestrian Stop,Suspicious Activity,Person,Unknown,Not Hispanic Or Latino,Male,18
44,6/24/2012 4:55,2012,6600 BLOCK OF 32ND PL NW,2D,201,Pedestrian Stop,Suspicious Activity,Person,Unknown,Unknown,Male,18
45,6/24/2012 4:55,2012,6600 BLOCK OF 32ND PL NW,2D,201,Pedestrian Stop,Suspicious Activity,Person,Unknown,Unknown,Male,18
46,6/24/2012 5:27,2012,2300 BLOCK OF CONSTITUTION AVE NW,,,Pedestrian Stop,Suspicious Activity,Person,Unknown,Unknown,Male,24
47,6/24/2012 5:33,2012,Multiple/Unknown Address,,,Vehicle Stop,Call For Service,Person,Black,Unknown,Male,32
48,6/24/2012 16:23,2012,400 BLOCK OF 13TH ST,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,32
49,6/25/2012 2:05,2012,2400 BLOCK OF 14TH ST NE,5D,505,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
50,6/25/2012 21:12,2012,INTERSTATE 395 FWY WB,,,Bicycle Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,26
51,6/25/2012 22:09,2012,Multiple/Unknown Address,,,Pedestrian Stop,Suspicious Persons,Person,Unknown,Hispanic Or Latino,Male,23
52,6/25/2012 22:09,2012,Multiple/Unknown Address,,,Pedestrian Stop,Suspicious Persons,Person,Unknown,Hispanic Or Latino,Male,26
53,6/26/2012 3:23,2012,1400 BLOCK OF K ST NW,1D,101,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,28
54,6/27/2012 4:09,2012,THOMAS CIR & VERMONT AVE NW,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,23
55,6/28/2012 3:57,2012,2100 BLOCK OF WEST VIRGINIA AVE NE,1D,102,Vehicle Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,54
56,6/28/2012 4:33,2012,2100 BLOCK OF WEST VIRGINIA AVE NE,1D,102,Vehicle Stop,Pre-existing Knowledge,Person,Black,Not Hispanic Or Latino,Female,30
57,6/28/2012 4:59,2012,2000 BLOCK OF WEST VIRGINIA AVE NE,5D,507,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Female,36
58,6/28/2012 6:39,2012,1800 BLOCK OF VERMONT AVE NW,3D,305,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,24
59,6/29/2012 1:18,2012,1700 BLOCK OF NEW JERSEY AVE NW,1D,308,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,58
60,6/29/2012 22:44,2012,1800 BLOCK OF SWANN ST NW,3D,305,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,53
61,6/30/2012 22:49,2012,700 BLOCK OF FLORIDA AVE NW,3D,305,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,35
62,7/1/2012 1:21,2012,UNIT BLOCK OF THOMAS CIR NW,1D,101,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,36
63,7/1/2012 5:20,2012,1900 BLOCK OF CAPITOL AVE NE,5D,506,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
64,7/1/2012 15:23,2012,200 BLOCK OF 55TH ST NE,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,27
65,7/1/2012 21:52,2012,600 BLOCK OF 57TH ST NE,6D,602,Vehicle Stop,Suspicious Vehicles,Person,Black,Not Hispanic Or Latino,Male,47
66,7/3/2012 2:17,2012,1500 BLOCK OF NORTH CAPITOL ST NW,5D,501,Bicycle Stop,Suspicious Persons,Person,Black,Unknown,Male,21
67,7/3/2012 17:28,2012,1800 BLOCK OF BLADENSBURG RD NE,1D,504,Vehicle Stop,Pre-existing Knowledge,Person,Black,Not Hispanic Or Latino,Male,36
68,7/4/2012 7:45,2012,,,,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,34
69,7/5/2012 2:01,2012,1700 BLOCK OF COLUMBIA RD NW,3D,303,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,28
70,7/5/2012 18:29,2012,UNIT BLOCK OF & O ST NW,,,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,49
71,7/7/2012 2:01,2012,1700 BLOCK OF LINCOLN RD NE,5D,502,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Female,56
72,7/7/2012 4:29,2012,,,,Pedestrian Stop,Pre-existing Knowledge,Person,Black,Unknown,Male,20
73,7/8/2012 1:20,2012,100 BLOCK OF NEW YORK AVE NW,1D,103,Vehicle Stop,Equipment Violation,Person,Black,Unknown,Female,39
74,7/8/2012 12:01,2012,BLADENSBURG RD NE / NEW YORK AVE NE,5D,503,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,36
75,7/10/2012 20:12,2012,Multiple/Unknown Address,,,Vehicle Stop,Moving Violation,Person,White,Unknown,Male,26
76,7/11/2012 21:29,2012,1300 BLOCK OF BELMONT RD NW,,,Pedestrian Stop,Juvenile Contact,Person,Black,Not Hispanic Or Latino,Male,18
77,7/11/2012 21:36,2012,1300 BLOCK OF BELMONT RD NW,,,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,Juvenile
78,7/12/2012 4:43,2012,E ST NE / NORTH CAPITOL ST,1D,103,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Female,30
79,7/12/2012 20:02,2012,3900 BLOCK OF MINNESOTA AVE NE,6D,602,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,61
80,7/13/2012 13:42,2012,3400 BLOCK OF PENNSYLVANIA AVE SE,6D,606,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,44
81,7/15/2012 14:01,2012,14 AND PERRY PL NW,,,Pedestrian Stop,Call For Service,Person,Unknown,Hispanic Or Latino,Male,22
82,7/15/2012 16:45,2012,20TH & 0 STREET NW,,,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,49
83,7/16/2012 5:56,2012,16TH ST NE / NEW YORK AVE NE,5D,505,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Female,21
84,7/16/2012 7:37,2012,16TH ST NE / NEW YORK AVE NE,5D,505,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Female,21
85,7/17/2012 21:43,2012,,,,Pedestrian Stop,Special Investigation,Person,Black,Not Hispanic Or Latino,Male,51
86,7/18/2012 6:32,2012,700 BLOCK OF 7TH ST NW,1D,102,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,46
87,7/18/2012 19:02,2012,3000 BLOCK OF 14TH ST NW,3D,302,Pedestrian Stop,Suspicious Persons,Person,White,Unknown,Female,29
88,7/18/2012 19:10,2012,200 BLOCK OF S ST. NW,5D,501,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,50
89,7/19/2012 18:31,2012,Multiple/Unknown Address,,,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,18
90,7/21/2012 17:42,2012,,,,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,54
91,7/23/2012 4:27,2012,Multiple/Unknown Address,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,26
92,7/24/2012 14:19,2012,3700 BLOCK OF 14TH ST NW,4D,404,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Female,27
93,7/25/2012 14:34,2012,,,,Pedestrian Stop,Special Investigation,Person,Black,Not Hispanic Or Latino,Male,26
94,7/25/2012 18:22,2012,1300 BLOCK OF PARK RD NW,3D,302,Pedestrian Stop,Suspicious Persons,Person,White,Unknown,Male,20
95,1/2/2012 15:27,2012,1400 BLOCK OF DOWNING ST NE,5D,505,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,34
96,1/5/2012 19:04,2012,1700 BLOCK OF MONROE ST NE,5D,504,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,Juvenile
97,1/5/2012 19:29,2012,1700 BLOCK OF MONROE ST NE,5D,504,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,Juvenile
98,1/7/2012 3:12,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
99,1/7/2012 3:12,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
100,1/7/2012 3:12,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
101,1/13/2012 9:04,2012,1300 BLOCK OF MOUNT OLIVET RD,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,46
102,1/13/2012 10:09,2012,2700 BLOCK OF BLADENSBURG RD NE,5D,503,Vehicle Stop,Moving Violation,Person,White,Unknown,Female,20
103,1/17/2012 0:58,2012,2500 BLOCK OF 14TH ST NE,5D,504,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,27
104,1/17/2012 0:58,2012,2500 BLOCK OF 14TH ST NE,5D,504,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,27
105,1/17/2012 0:58,2012,2500 BLOCK OF 14TH ST NE,5D,504,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,24
106,1/17/2012 21:54,2012,2100 BLOCK OF QUEENS CHAPEL RD NE,5D,505,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,22
107,1/19/2012 21:49,2012,1400 BLOCK OF OTIS ST NE,5D,504,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,
108,1/20/2012 1:30,2012,2400 BLK MINNESOTA AVE SE,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
109,1/23/2012 6:20,2012,4TH ST NW / R ST NW,5D,501,Pedestrian Stop,Suspicious Persons,,,,,
110,1/24/2012 1:37,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
111,1/27/2012 1:21,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
112,2/3/2012 2:26,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
113,2/3/2012 2:35,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
114,2/4/2012 3:47,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
115,2/4/2012 3:47,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
116,2/4/2012 4:03,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
117,2/7/2012 1:08,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
118,2/7/2012 1:08,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
119,2/7/2012 1:08,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
120,2/9/2012 1:06,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
121,2/10/2012 1:33,2012,2500 BLOCK OF BENNING ROAD NE,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
122,2/11/2012 2:23,2012,1200 BLOCK OF BLADENSBURG ROAD NE,5D,506,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
123,2/11/2012 2:33,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
124,2/11/2012 2:33,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
125,2/15/2012 2:41,2012,300 BLOCK OF 8TH ST SE,1D,107,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,47
126,2/17/2012 1:38,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
127,2/18/2012 2:55,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
128,2/18/2012 2:55,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
129,2/19/2012 1:02,2012,31ST ST NW / P ST NW,2D,206,Bicycle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,49
130,2/19/2012 3:00,2012,1600 BLOCK OF BENNING ROAD N.E.,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
131,2/19/2012 3:07,2012,1600 BLOCK OF BENNING ROAD N.E.,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
132,2/22/2012 2:55,2012,1600 BLOCK OF NEW YORK AVE NE,5D,506,Pedestrian Stop,Prostitution-free Zone,Person,Black,Not Hispanic Or Latino,Female,20
133,2/23/2012 1:36,2012,2500 BLOCK OF BENNING ROAD NE,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
134,2/25/2012 2:33,2012,4100 BLOCK OF MINNESOTA AVE SE,6D,603,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
135,2/25/2012 15:40,2012,100 BLOCK OF Q ST NW,5D,502,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,31
136,2/26/2012 2:51,2012,1600 BLOCK OF BENNING ROAD NE,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
137,2/26/2012 2:59,2012,1600 BLOCK OF BENNING ROAD NE,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
138,2/28/2012 1:00,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
139,3/2/2012 21:21,2012,800 BLOCK BLADNESBURG RD NE,,,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,50
140,3/2/2012 21:29,2012,100 BLOCK Q ST NW,,,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,31
141,3/3/2012 2:20,2012,1000 BLOCK OF BRENTWOOD ROAD NE,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
142,3/3/2012 2:23,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
143,3/3/2012 2:23,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Male,Juvenile
144,3/3/2012 2:25,2012,1000 BLOCK OF BRENTWOOD RD NE,5D,505,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
145,3/3/2012 2:32,2012,1000 BLOCK OF BRENTWOOD ROAD NE,,,Pedestrian Stop,Truancy/curfew,Person,Unknown,Not Hispanic Or Latino,Female,
146,3/6/2012 2:30,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
147,3/7/2012 1:40,2012,1900 BLOCK OF BENNING RD NE,5D,507,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
148,3/7/2012 2:57,2012,1100 BLOCK OF 11 ST NW,3D,103,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,30
149,3/7/2012 21:03,2012,800 BLOCK OF BLADENSBURG RD NE,5D,506,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,54
150,3/7/2012 23:05,2012,1200 BLOCK OF HOLBROOK ST NE,5D,506,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,22
151,3/7/2012 23:11,2012,1200 BLOCK OF HOLBROOK ST NE,5D,506,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,23
152,3/7/2012 23:25,2012,1200 BLOCK OF HOLBROOK ST NE,5D,506,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,21
153,3/7/2012 23:29,2012,1200 BLOCK OF HOLBROOK ST NE,5D,506,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,21
154,3/8/2012 1:43,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
155,3/8/2012 1:43,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
156,3/8/2012 1:56,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
157,3/8/2012 2:04,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Unknown,Female,Juvenile
158,3/8/2012 18:01,2012,1200 BLOCK OF BRENTWOOD RD NE,5D,505,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,18
159,3/8/2012 18:06,2012,1200 BLOCK OF BRENTWOOD RD NE,5D,505,Vehicle Stop,Community Policing,Person,Black,Unknown,Male,19
160,3/10/2012 15:36,2012,2300 BLOCK OF 15TH ST NE,5D,507,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,25
161,3/10/2012 15:39,2012,2300 BLOCK OF 15TH ST NE,5D,507,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,32
162,3/10/2012 15:41,2012,2300 BLOCK OF 15TH ST NE,5D,507,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,21
163,3/10/2012 15:53,2012,1600 BLOCK OF W ST NE,5D,505,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,27
164,3/10/2012 16:48,2012,1400 BLOCK OF FRANKLIN ST NE,5D,504,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,32
165,3/10/2012 16:53,2012,1300 BLOCK OF FRANKLIN ST NE,5D,504,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,32
166,3/13/2012 3:14,2012,2400 BLOCK OF 16TH ST NW,3D,303,Vehicle Stop,Moving Violation,Person,Unknown,Unknown,Female,26
167,3/13/2012 15:20,2012,1600 BLOCK OF LEVIS PL NE,,,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,Juvenile
168,3/13/2012 15:30,2012,1600 BLOCK OF LEVIS PL NE,,,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,25
169,3/13/2012 15:34,2012,1600 BLOCK OF LEVIS PL NE,,,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,20
170,3/13/2012 15:45,2012,Multiple/Unknown Address,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,30
171,3/15/2012 4:17,2012,1400 BLOCK OF W ST NW,3D,301,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,27
172,3/16/2012 1:17,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Unknown,Not Hispanic Or Latino,Female,Juvenile
173,3/17/2012 2:38,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
174,3/17/2012 2:38,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Female,Juvenile
175,3/18/2012 2:15,2012,Multiple/Unknown Address,,,Pedestrian Stop,Truancy/curfew,Person,Black,Not Hispanic Or Latino,Male,Juvenile
176,3/23/2012 15:16,2012,3700 BLOCK OF 14TH ST,4D,404,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,56
177,3/25/2012 15:00,2012,1400 BLOCK OF SOMERSET PL NW,4D,402,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,36
178,3/25/2012 15:00,2012,1400 BLOCK OF SOMERSET PL NW,4D,402,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,55
179,3/25/2012 15:00,2012,1400 BLOCK OF SOMERSET PL NW,4D,402,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,34
